Which type of memory is responsible for storing information about events we've experienced,Episodic,Memory
What is the process of transferring information from short-term memory to long-term memory,Encoding,Memory
Who proposed the Multi-Store Model of memory,Atkinson and Shiffrin,Memory
What is the capacity of short-term memory according to Miller's research,7 ± 2 items,Memory
Which part of the brain is primarily associated with the formation of new memories,Hippocampus,Memory
What is the duration of sensory memory,Less than a second,Memory
What technique involves repeating information to keep it in short-term memory,Maintenance Rehearsal,Memory
Which type of long-term memory involves skills and actions,Procedural,Memory
What did Baddeley and Hitch develop in relation to memory models,Working Memory Model,Memory
What is the method of loci,A mnemonic device,Memory
Which type of interference occurs when old information hinders the recall of new information,Proactive,Memory
Which effect demonstrates that people tend to remember the first and last items in a list better,Serial Position Effect,Memory
What term describes the vivid detailed memories of significant events,Flashbulb Memory,Memory
What is the term for the inability to retrieve information from long-term memory,Retrieval Failure,Memory
Who conducted pioneering research on the misinformation effect,Elizabeth Loftus,Memory
What is the capacity of sensory memory,Large but limited,Memory
What is chunking,Grouping information into larger units,Memory
What kind of memory is involved when you recall your first day at school,Episodic,Memory
What is the duration of short-term memory without rehearsal,15-30 seconds,Memory
Which memory store is believed to have a potentially unlimited capacity,Long-Term Memory,Memory
What is the definition of attachment in psychology,A close emotional bond,Attachment
Which researcher is most associated with the study of attachment in infants,John Bowlby,Attachment
What is the main idea behind Bowlby's attachment theory,Attachment is innate,Attachment
According to Ainsworth what are the three main types of attachment styles identified in the Strange Situation,Secure avoidant ambivalent,Attachment
"What does the term ""secure base"" refer to in attachment theory",A point of safety,Attachment
Which of the following is a key feature of secure attachment in infants,Distress when the caregiver leaves and joy when they return,Attachment
What is the critical period according to Bowlby’s attachment theory,A specific time period for forming attachments,Attachment
What is an internal working model in the context of attachment theory,Mental representations of self and others,Attachment
"Who conducted the ""Strange Situation"" study",Mary Ainsworth,Attachment
In Ainsworth’s Strange Situation how does a securely attached child behave when the caregiver returns,Seeks comfort and is easily soothed,Attachment
What is the term for a baby who shows little distress on separation and avoids the caregiver upon return,Avoidant attachment,Attachment
Which attachment style is characterized by anxiety and uncertainty,Ambivalent attachment,Attachment
What did Harlow’s study with rhesus monkeys demonstrate about attachment,The importance of contact comfort,Attachment
"What is the ""continuity hypothesis"" in attachment theory",Early attachments influence later relationships,Attachment
"Which psychologist is associated with the concept of ""maternal deprivation""",John Bowlby,Attachment
What did Schaffer and Emerson’s study on Glasgow infants find about attachment formation,Multiple attachments develop,Attachment
What role does the caregiver's sensitivity play in the formation of attachment according to Ainsworth,It is crucial for secure attachment,Attachment
Which attachment style might develop from inconsistent caregiving,Ambivalent attachment,Attachment
What is the impact of attachment on social and emotional development,Secure attachment fosters better social and emotional outcomes,Attachment
How can attachment theory be applied to improve caregiving practices,By promoting responsive and sensitive caregiving,Attachment
